t,x,y
3656.1,1.30719e+07,-9.38981e+06
3666.2,1.3077e+07,-9.44523e+06
3676.3,1.3082e+07,-9.50056e+06
3686.4,1.30869e+07,-9.55579e+06
3696.5,1.30916e+07,-9.61093e+06
3706.6,1.30962e+07,-9.66599e+06
3716.7,1.31007e+07,-9.72095e+06
3726.8,1.31051e+07,-9.77582e+06
3736.9,1.31093e+07,-9.8306e+06
3747,1.31135e+07,-9.88528e+06
3757.1,1.31175e+07,-9.93988e+06
3767.2,1.31214e+07,-9.99439e+06
3777.3,1.31251e+07,-1.00488e+07
3787.4,1.31288e+07,-1.01031e+07
3797.5,1.31323e+07,-1.01574e+07
3807.6,1.31357e+07,-1.02115e+07
3817.7,1.3139e+07,-1.02656e+07
3827.8,1.31422e+07,-1.03195e+07
3837.9,1.31453e+07,-1.03734e+07
3848,1.31483e+07,-1.04272e+07
3858.1,1.31511e+07,-1.04809e+07
3868.2,1.31538e+07,-1.05345e+07
3878.3,1.31565e+07,-1.0588e+07
3888.4,1.3159e+07,-1.06414e+07
3898.5,1.31614e+07,-1.06948e+07
3908.6,1.31637e+07,-1.0748e+07
3918.7,1.31659e+07,-1.08012e+07
3928.8,1.31679e+07,-1.08543e+07
3938.9,1.31699e+07,-1.09072e+07
3949,1.31717e+07,-1.09601e+07
3959.1,1.31735e+07,-1.10129e+07
3969.2,1.31751e+07,-1.10656e+07
3979.3,1.31767e+07,-1.11183e+07
3989.4,1.31781e+07,-1.11708e+07
3999.5,1.31795e+07,-1.12233e+07
4009.6,1.31807e+07,-1.12756e+07
4019.7,1.31818e+07,-1.13279e+07
4029.8,1.31828e+07,-1.13801e+07
4039.9,1.31838e+07,-1.14322e+07
4050,1.31846e+07,-1.14842e+07
4060.1,1.31853e+07,-1.15361e+07
4070.2,1.31859e+07,-1.1588e+07
4080.3,1.31864e+07,-1.16397e+07
4090.4,1.31869e+07,-1.16914e+07
4100.5,1.31872e+07,-1.1743e+07
4110.6,1.31874e+07,-1.17945e+07
4120.7,1.31876e+07,-1.18459e+07
4130.8,1.31876e+07,-1.18972e+07
4140.9,1.31875e+07,-1.19484e+07
4151,1.31874e+07,-1.19996e+07
4161.1,1.31871e+07,-1.20506e+07
4171.2,1.31868e+07,-1.21016e+07
4181.3,1.31863e+07,-1.21525e+07
4191.4,1.31858e+07,-1.22033e+07
4201.5,1.31852e+07,-1.2254e+07
4211.6,1.31845e+07,-1.23046e+07
4221.7,1.31837e+07,-1.23552e+07
4231.8,1.31828e+07,-1.24056e+07
4241.9,1.31818e+07,-1.2456e+07
4252,1.31807e+07,-1.25063e+07
4262.1,1.31795e+07,-1.25565e+07
4272.2,1.31783e+07,-1.26066e+07
4282.3,1.31769e+07,-1.26566e+07
4292.4,1.31755e+07,-1.27066e+07
4302.5,1.3174e+07,-1.27565e+07
4312.6,1.31724e+07,-1.28063e+07
4322.7,1.31707e+07,-1.2856e+07
4332.8,1.31689e+07,-1.29056e+07
4342.9,1.31671e+07,-1.29551e+07
4353,1.31651e+07,-1.30045e+07
4363.1,1.31631e+07,-1.30539e+07
4373.2,1.3161e+07,-1.31032e+07
4383.3,1.31588e+07,-1.31524e+07
4393.4,1.31565e+07,-1.32015e+07
4403.5,1.31541e+07,-1.32505e+07
4413.6,1.31517e+07,-1.32995e+07
4423.7,1.31491e+07,-1.33484e+07
4433.8,1.31465e+07,-1.33971e+07
4443.9,1.31438e+07,-1.34458e+07
4454,1.3141e+07,-1.34945e+07
4464.1,1.31382e+07,-1.3543e+07
4474.2,1.31353e+07,-1.35915e+07
4484.3,1.31323e+07,-1.36398e+07
4494.4,1.31292e+07,-1.36881e+07
4504.5,1.3126e+07,-1.37363e+07
4514.6,1.31228e+07,-1.37845e+07
4524.7,1.31194e+07,-1.38325e+07
4534.8,1.3116e+07,-1.38805e+07
4544.9,1.31126e+07,-1.39284e+07
4555,1.3109e+07,-1.39762e+07
4565.1,1.31054e+07,-1.40239e+07
4575.2,1.31017e+07,-1.40715e+07
4585.3,1.30979e+07,-1.41191e+07
4595.4,1.3094e+07,-1.41666e+07
4605.5,1.30901e+07,-1.4214e+07
4615.6,1.30861e+07,-1.42613e+07
4625.7,1.3082e+07,-1.43086e+07
4635.8,1.30779e+07,-1.43557e+07
4645.9,1.30737e+07,-1.44028e+07
4656,1.30694e+07,-1.44498e+07
4666.1,1.3065e+07,-1.44967e+07
4676.2,1.30606e+07,-1.45436e+07
4686.3,1.30561e+07,-1.45903e+07
4696.4,1.30515e+07,-1.4637e+07
4706.5,1.30468e+07,-1.46836e+07
4716.6,1.30421e+07,-1.47302e+07
4726.7,1.30373e+07,-1.47766e+07
4736.8,1.30325e+07,-1.4823e+07
4746.9,1.30275e+07,-1.48693e+07
4757,1.30226e+07,-1.49155e+07
4767.1,1.30175e+07,-1.49616e+07
4777.2,1.30124e+07,-1.50077e+07
4787.3,1.30072e+07,-1.50537e+07
4797.4,1.30019e+07,-1.50996e+07
4807.5,1.29966e+07,-1.51454e+07
4817.6,1.29912e+07,-1.51911e+07
4827.7,1.29857e+07,-1.52368e+07
4837.8,1.29802e+07,-1.52824e+07
4847.9,1.29746e+07,-1.53279e+07
4858,1.29689e+07,-1.53734e+07
4868.1,1.29632e+07,-1.54187e+07
4878.2,1.29574e+07,-1.5464e+07
4888.3,1.29515e+07,-1.55092e+07
4898.4,1.29456e+07,-1.55544e+07
4908.5,1.29396e+07,-1.55994e+07
4918.6,1.29336e+07,-1.56444e+07
4928.7,1.29275e+07,-1.56893e+07
4938.8,1.29213e+07,-1.57341e+07
4948.9,1.29151e+07,-1.57789e+07
4959,1.29088e+07,-1.58236e+07
4969.1,1.29024e+07,-1.58682e+07
4979.2,1.2896e+07,-1.59127e+07
4989.3,1.28895e+07,-1.59571e+07
4999.4,1.2883e+07,-1.60015e+07
5009.5,1.28764e+07,-1.60458e+07
5019.6,1.28697e+07,-1.609e+07
5029.7,1.2863e+07,-1.61342e+07
5039.8,1.28562e+07,-1.61783e+07
5049.9,1.28494e+07,-1.62223e+07
5060,1.28425e+07,-1.62662e+07
5070.1,1.28356e+07,-1.631e+07
5080.2,1.28285e+07,-1.63538e+07
5090.3,1.28215e+07,-1.63975e+07
5100.4,1.28143e+07,-1.64412e+07
5110.5,1.28071e+07,-1.64847e+07
5120.6,1.27999e+07,-1.65282e+07
5130.7,1.27926e+07,-1.65716e+07
5140.8,1.27852e+07,-1.66149e+07
5150.9,1.27778e+07,-1.66582e+07
5161,1.27704e+07,-1.67014e+07
5171.1,1.27628e+07,-1.67445e+07
5181.2,1.27552e+07,-1.67876e+07
5191.3,1.27476e+07,-1.68305e+07
5201.4,1.27399e+07,-1.68734e+07
5211.5,1.27322e+07,-1.69163e+07
5221.6,1.27244e+07,-1.6959e+07
5231.7,1.27165e+07,-1.70017e+07
5241.8,1.27086e+07,-1.70443e+07
5251.9,1.27006e+07,-1.70868e+07
5262,1.26926e+07,-1.71293e+07
5272.1,1.26845e+07,-1.71717e+07
5282.2,1.26764e+07,-1.7214e+07
5292.3,1.26682e+07,-1.72563e+07
5302.4,1.266e+07,-1.72984e+07
5312.5,1.26517e+07,-1.73405e+07
5322.6,1.26434e+07,-1.73826e+07
5332.7,1.2635e+07,-1.74245e+07
5342.8,1.26266e+07,-1.74664e+07
