t,x,y
23.8,0.00156656,6.37298e+06
23.9,0.00157998,6.373e+06
24,0.00159346,6.37301e+06
24.1,0.001607,6.37303e+06
24.2,0.0016206,6.37305e+06
24.3,0.00163426,6.37307e+06
24.4,0.00164798,6.37308e+06
24.5,0.00166175,6.3731e+06
24.6,0.00167559,6.37312e+06
24.7,0.00168949,6.37314e+06
24.8,0.00170345,6.37316e+06
24.9,0.00171747,6.37318e+06
25,0.00173155,6.37319e+06
25.1,0.00174569,6.37321e+06
25.2,0.0017599,6.37323e+06
25.3,0.00177416,6.37325e+06
25.4,0.00178848,6.37327e+06
25.5,0.00180286,6.37329e+06
25.6,0.00181731,6.37331e+06
25.7,0.00183181,6.37333e+06
25.8,0.00184637,6.37334e+06
25.9,0.001861,6.37336e+06
26,0.00187568,6.37338e+06
26.1,0.00189043,6.3734e+06
26.2,0.00190524,6.37342e+06
26.3,0.00192011,6.37344e+06
26.4,0.00193504,6.37346e+06
26.5,0.00195003,6.37348e+06
26.6,0.00196508,6.3735e+06
26.7,0.00198019,6.37352e+06
26.8,0.00199536,6.37354e+06
26.9,0.0020106,6.37356e+06
27,0.00202589,6.37358e+06
27.1,0.00204125,6.3736e+06
27.2,0.00205666,6.37362e+06
27.3,0.00207214,6.37364e+06
27.4,0.00208768,6.37366e+06
27.5,0.00210328,6.37368e+06
27.6,0.00211895,6.3737e+06
27.7,0.00213467,6.37373e+06
27.8,0.00215045,6.37375e+06
27.9,0.0021663,6.37377e+06
28,0.00218221,6.37379e+06
28.1,0.00219818,6.37381e+06
28.2,0.00221421,6.37383e+06
28.3,0.0022303,6.37385e+06
28.4,0.00224646,6.37387e+06
28.5,0.00226267,6.3739e+06
28.6,0.00227895,6.37392e+06
28.7,0.00229529,6.37394e+06
28.8,0.00231169,6.37396e+06
28.9,0.00232815,6.37398e+06
29,0.00234468,6.374e+06
29.1,0.00236127,6.37403e+06
29.2,0.00237791,6.37405e+06
29.3,0.00239463,6.37407e+06
29.4,0.0024114,6.37409e+06
29.5,0.00242823,6.37412e+06
29.6,0.00244513,6.37414e+06
29.7,0.00246209,6.37416e+06
29.8,0.00247911,6.37418e+06
29.9,0.00249619,6.37421e+06
30,0.00251334,6.37423e+06
30.1,0.00253055,6.37425e+06
30.2,0.00254782,6.37428e+06
30.3,0.00256515,6.3743e+06
30.4,0.00258255,6.37432e+06
30.5,0.0026,6.37435e+06
30.6,0.00261752,6.37437e+06
